Title,Summary,PDF File Path
Συστήματα Συστημάτων για την Ανάλυση Δεδομένων IoT,Μελέτη και ανάπτυξη ενός συστήματος για την ανάλυση δεδομένων από το Internet of Things (IoT).,/mnt/data/iot_analysis.pdf
Μηχανική Μάθηση για Αναγνώριση Προτύπων στις Βιοϊατρικές Εικόνες,Εφαρμογή μεθόδων μηχανικής μάθησης για την ανίχνευση παθολογιών σε βιοϊατρικές εικόνες.,/mnt/data/machine_learning_bio_images.pdf
Κρυπτογράφηση Quantum για Ασφαλή Επικοινωνία,Μελέτη πρωτοκόλλων κβαντικής κρυπτογράφησης και η εφαρμογή τους στην ασφαλή επικοινωνία.,/mnt/data/quantum_encryption.pdf
Ανάλυση Κοινωνικών Δικτύων με Χρήση Γραφημάτων,Εφαρμογή θεωρίας γραφημάτων για την ανάλυση και οπτικοποίηση κοινωνικών δικτύων.,/mnt/data/social_network_analysis.pdf
Σχεδίαση Ευφυών Συστημάτων Σύστασης Προϊόντων,Δημιουργία συστημάτων που βασίζονται σε τεχνικές τεχνητής νοημοσύνης για εξατομικευμένες προτάσεις.,/mnt/data/intelligent_recommendation_systems.pdf
Αυτόνομα Οχήματα και Αλγόριθμοι Πλοήγησης,Ανάλυση αλγορίθμων πλοήγησης και εφαρμογές σε αυτόνομα οχήματα.,/mnt/data/autonomous_navigation.pdf
Ασφάλεια στον Κυβερνοχώρο με Χρήση Blockchain,Εξερεύνηση της τεχνολογίας blockchain για την προστασία δεδομένων και την ανίχνευση επιθέσεων.,/mnt/data/cybersecurity_blockchain.pdf
Υπολογιστική Όραση για Αναγνώριση Αντικειμένων,Ανάπτυξη αλγορίθμων για την αναγνώριση και ταξινόμηση αντικειμένων σε εικόνες.,/mnt/data/computer_vision.pdf
Διαχείριση Μεγάλων Δεδομένων με Χρήση Apache Hadoop,Μελέτη τεχνικών αποθήκευσης και ανάλυσης μεγάλων δεδομένων με χρήση του Apache Hadoop.,/mnt/data/big_data_hadoop.pdf
Εικονική Πραγματικότητα για Εκπαιδευτικούς Σκοπούς,Δημιουργία εφαρμογών εικονικής πραγματικότητας για την ενίσχυση της εκπαιδευτικής εμπειρίας.,/mnt/data/vr_education.pdf
